book_a;book_b;count
0375707972;0316666343;16
0385336179;0385335482;16
0842329129;0842332251;16
014028009X;0316666343;16
1400034779;0142001740;16
0671021001;0446672211;16
0842329218;0842332251;16
0441001971;0441004520;16
0425154092;0425169863;16
0375727345;0142000205;16
0385484518;0316666343;16
051512317X;0515124214;16
006447108X;0064471063;16
0425163407;0425147622;16
0375727345;0452282829;16
0060928336;0452282152;16
0425169863;0425154092;16
0142001740;1400034779;16
0449221482;0553279556;15
0451156609;0451167317;15
0440224764;0440234743;15
0440224764;0440211727;15
067976402X;0385504209;15
0425147622;0380718340;15
0441003745;0441005241;15
0553279556;0553279912;15
0452282829;0312195516;15
0380718340;0425169863;15
0446608955;0446672211;15
0446605239;0446606812;15
0142001740;0060987103;15
0316601950;0060928336;15
0440214041;0440224764;15
0060928336;0385504209;15
0553213180;0553213148;15
0446672211;0375707972;15
0140293248;0312278586;15
0440217563;044022425X;15
0316601950;0060930535;15
0553213164;0553213148;15
0515128554;0515132020;15
0375727345;0142001740;15
0451172817;0451156609;15
0439139600;0590353403;15
0312924585;0345313860;15
0441304834;0441001971;15
0446672211;0060930535;15
0375727345;0743418174;15
0345342968;0446310786;15
0064407667;0064407691;15
0590353403;0439139600;15
0553213148;0553213180;15
0553279556;0449221482;15
0380718340;0425147622;15
0440498058;0440487617;15
0316601950;0375707972;15
0441003745;0441004520;15
0064407691;0064407667;15
0060930535;0446672211;15
0743418174;0375727345;15
0446672211;0446608955;15
0440234743;0440224764;15
0553213148;0553213164;15
0064407691;0064407675;15
0316769487;0385504209;15
0345361792;0316666343;15
0440487617;0440498058;15
0345404319;0345397819;15
0060987103;0142001740;15
0441004520;0441003745;15
0451156609;0451172817;15
0440224764;0440214041;15
0842329269;0842329277;15
0515128546;0515131229;15
0842329285;0842332251;15
0312924585;0440211727;15
044022165X;0440211727;15
0446310786;0345342968;15
051513287X;0515126772;15
0060930535;0452282152;15
0060930535;0316601950;15
0060928336;0316601950;15
0440225701;0440236673;15
067976402X;0312195516;15
0345313860;0312924585;15
0312278586;0312195516;15
0440211727;0440224764;15
0440211727;0312924585;15
0446606812;0446605239;15
0375707972;0316601950;15
0060930535;0060928336;15
0515126772;051513287X;15
0425169863;0380718340;15
0375700757;0312195516;15
0064407675;0064407691;15
0142001740;0375727345;15
1400034779;0312195516;15
0440214041;0440236673;15
0345384466;0345397819;15
0440236673;0440225701;15
0452282152;0060930535;15
0553279912;0553279556;15
0515131229;0515128546;15
0842329277;0842329269;15
0345443284;0316666343;15
0060928336;0060930535;15
0312278586;0140293248;15
0060934417;0312195516;15
0553279912;0553271636;15
0345339681;059035342X;15
0441001971;0441304834;15
0446532231;0385504209;15
0440236673;0440214041;15
0345397819;0345404319;15
0440211727;044022165X;15
0375707972;0446672211;15
0553271636;0553279912;15
059035342X;0345339681;15
0671027360;0312195516;15
0842332251;0842329285;15
0451167317;0451156609;15
0515132020;0515128554;15
044022425X;0440217563;15
0441005241;0441003745;15
0345397819;0345384466;15
0393319296;0385498721;14
0312265867;0312966970;14
0441000916;0441003745;14
0440224675;0316666343;14
0140293248;0316666343;14
0345378490;0440213525;14
0312980140;0312265867;14
0440221471;0440211727;14
0553213148;055321313X;14
0060938455;0316666343;14
0440221471;0440220602;14
0312291639;0316666343;14
0440213525;0345378490;14
0441304834;0441000916;14
0441009239;0441010512;14
0061009059;0316666343;14
0441004520;0441005241;14
0345337662;0312924585;14
0553280368;0553284789;14
1400031354;0142001740;14
0345313151;0345318854;14
0380718340;0425163407;14
0842332251;0842329250;14
0064407667;043935806X;14
0440221471;0440225701;14
0842329250;0842332251;14
0842329285;0842329242;14
0140257934;014025448X;14
0842329285;0842329218;14
0446532231;0060392452;14
0345380371;0345370775;14
0425158616;0425154092;14
0064471055;0064471071;14
0786868716;0312195516;14
0385335881;0312278586;14
0345370775;0345378490;14
0345370775;0345380371;14
0345384466;0345313860;14
0440236673;0440241073;14
0452282152;0060934417;14
0312990456;0312971346;14
0440221471;0440234743;14
0064471063;0064471071;14
0312265867;0312980140;14
0312980140;0061009059;14
0451524934;0316769487;14
0380718340;0425154092;14
0345313860;0345384466;14
0671001795;0312195516;14
0345370775;0316666343;14
0064471071;0064471055;14
0425154092;0425158616;14
0743418174;0446672211;14
051512317X;0515128554;14
0553280368;0449221512;14
0842329218;0842329285;14
0425169863;0425147622;14
0060392452;0446532231;14
0446310786;044021145X;14
0441010512;0441009239;14
0441000916;0441304834;14
080411109X;0804106304;14
0064407667;0064408647;14
1558745157;0452281903;14
0553280368;0449221504;14
0140254544;0140257934;14
0140254544;0140265686;14
0345313860;0345409671;14
0743418174;0375726403;14
0064471071;0064471063;14
0142000205;0452282829;14
0385722206;0156027321;14
0385335482;0316666343;14
0374199698;0385504209;14
0804106304;059035342X;14
0440211727;0345370775;14
0316769487;0451524934;14
067976402X;0671510053;14
0515126772;0515131229;14
0425154092;0380718340;14
0345413350;0345413369;14
0440236673;0440221471;14
0345351525;0345409671;14
0345397819;034538475X;14
0671510053;067976402X;14
014028009X;0312195516;14
0842329242;0842329277;14
0842329242;0842329285;14
0140265686;0140254544;14
034538475X;0345397819;14
0312265867;0312265859;14
0449221482;0449219364;14
0316601950;0060976845;14
0316969443;0316666343;14
0385722206;0142001740;14
0743237188;0312195516;14
0441005241;0441004520;14
0312278586;0316096199;14
0064407683;0064407691;14
0156027321;0385722206;14
0345370775;0440214041;14
0312924585;0345337662;14
0316769487;043935806X;14
0375727345;0446672211;14
0061009059;0312980140;14
0060976845;0312195516;14
0449221482;0449219461;14
068484477X;0312195516;14
0440225701;0440221471;14
0312305060;0316666343;14
0312995423;0385504209;14
0440225701;0440224764;14
0440220602;0440225701;14
0345409671;0345351525;14
0440213525;059035342X;14
014025448X;0140257934;14
0345378490;0345370775;14
0060987529;0316666343;14
0425163407;0380718340;14
0345318854;0345313151;14
0316096199;0312278586;14
0446610038;0316666343;14
0446611212;0446610038;14
0449221504;0553280368;14
0671001795;0316666343;14
014028009X;0385504209;14
0452281903;1558745157;14
0380718332;0380718340;14
0440224764;0440225701;14
0070212570;0312195516;14
0671003755;0312195516;14
0345378490;0345353145;14
0515128554;051512317X;14
0385722206;0316666343;14
0805063897;0316666343;14
0440214041;0345370775;14
0345413369;0345413350;14
0425147622;0425169863;14
0140298479;014028009X;14
0312971346;0312990456;14
0553284789;0553280368;14
0345404319;0345384466;14
0312265859;0312265867;14
0312966970;0312265867;14
0440225701;044021145X;14
0375700757;0142001740;14
014028009X;0060928336;14
0842329277;0842329242;14
0440225701;0440220602;14
0446610038;0446611212;14
0140257934;0140254544;14
0380718340;0380718332;14
0375726403;0743418174;14
0440241073;0440236673;14
0345384466;0345404319;14
0385498721;0393319296;14
0060959037;0312195516;14
0440213525;0316666343;14
0060934417;0452282152;14
0440226430;0446672211;14
0440221471;0440236673;14
0064408647;0064407667;14
0440211727;0440221471;14
055321313X;0553213148;14
0064407691;0064407683;14
0452282829;0142000205;14
0449219461;0449221482;14
0345409671;0345313860;14
0515131229;0515126772;14
0060976845;0316601950;14
0440220602;0440221471;14
0804106304;080411109X;14
0312278586;0385335881;14
068484477X;0385265700;14
0440234743;0440221471;14
0449219364;0449221482;14
0385265700;068484477X;14
0449221512;0553280368;14
014028009X;0140298479;14
0345353145;0345378490;14
0441003745;0441000916;14
0345370775;0440211727;14
0449212602;0312195516;14
0441001971;0441005748;13
0140293248;0375706771;13
0375706771;0060987103;13
0451173317;0451160525;13
0064471071;006447108X;13
0316601950;0743418174;13
0451524934;0451526341;13
0312983271;0312980140;13
0312291639;0142001740;13
0451524934;0060929871;13
0505523752;0505524090;13
0064408647;0064408639;13
0684801523;0316769487;13
0312306326;0312265859;13
0441304834;0441004520;13
051513287X;0515128554;13
0505524090;0505523752;13
038079487X;0316666343;13
0451167317;0451184963;13
0449221482;0553280341;13
0446310786;067976402X;13
0449221482;0553280368;13
0316769487;0439064864;13
0440498058;0316666343;13
0375707972;0375706771;13
0140293248;0743418174;13
0553279912;0449221504;13
1400034779;0316666343;13
0345417623;0385504209;13
0142000205;0446672211;13
0345337662;044021145X;13
044022165X;0385504209;13
0812551478;0812548094;13
0375726403;0385504209;13
1400034779;0385504209;13
0671001795;0312983867;13
0316769487;0684801523;13
0312983867;0671001795;13
1573225789;0316666343;13
0842329285;084233226X;13
0786868716;0312278586;13
0441004520;0441005748;13
0684801523;0385504209;13
0375706771;0140293248;13
0441004520;0441304834;13
0812511816;0812517725;13
0553213164;0553213180;13
0345380371;0345353145;13
0312265859;0312306326;13
0446531332;0385504209;13
0399501487;0446310786;13
0064408647;0064407675;13
0670835382;0385199570;13
0385508042;0385511612;13
0064408647;0064407691;13
084233226X;0842329285;13
084233226X;0842329242;13
044023722X;0440214041;13
0553213180;0553213164;13
044023722X;0060928336;13
0553280341;0449221482;13
0140293248;0060930535;13
0451176464;0451177096;13
0385265700;0446672211;13
0449221504;0553279912;13
0812517725;0812511816;13
0064407675;0064408647;13
067976402X;014028009X;13
067976402X;0446310786;13
044023722X;0312195516;13
0553289411;0553250426;13
0449221504;0449221512;13
044023722X;0142001740;13
0312305060;0385722206;13
0385722206;0312305060;13
051512317X;0515128546;13
006447108X;0064471071;13
0451160525;0451173317;13
0449221504;0449219364;13
0446608955;0446610399;13
0449221512;0449221504;13
0345439104;0316601950;13
0064471055;006447108X;13
0064408639;0064408647;13
006447108X;0064471055;13
0439064872;0060928336;13
0440224764;0440221471;13
0312990456;0312976275;13
0060929871;0451524934;13
0440214041;044023722X;13
0385511612;0385504209;13
0380789035;0380789019;13
0375706771;0375707972;13
0441005241;0441000916;13
0440221471;0440224764;13
0425163407;0425169863;13
068484477X;0375707972;13
0141000198;0140298479;13
0060930535;0140293248;13
0451184963;0451167317;13
0842329218;084232920X;13
0446608815;0446606189;13
0515128546;051512317X;13
0446310786;0399501487;13
0375707972;068484477X;13
0425169863;0425163407;13
0618002235;0618002227;13
0345342968;059035342X;13
0515128554;051513287X;13
0060502258;0142001740;13
0312966091;0316666343;13
0684857820;0316666343;13
0446606189;0446608815;13
0375726403;0060934417;13
0440206154;0316666343;13
0312980140;0312983271;13
0440234743;0440241073;13
0060987103;0375706771;13
014028009X;0316601950;13
0671003755;0312278586;13
0375706771;0385484518;13
0385511612;0385508042;13
0440234743;0440225701;13
0842329242;084233226X;13
0312278586;0060928336;13
0812548094;0812551478;13
0553280368;0449221482;13
0375706771;0446672211;13
1400031354;1400031346;13
0380731851;0385504209;13
0449219461;0553279912;13
0449219364;0449221504;13
1400031346;1400031354;13
0385484518;0375727345;13
0451526341;0451524934;13
0385484518;0375706771;13
0553279912;0449219461;13
0804106304;0142001740;13
0312976275;0312990456;13
0312278586;0385504209;13
0142001430;0316666343;13
0385199570;0670835382;13
0064407691;0064408647;13
0440225701;0440234743;13
0440225701;0440241073;13
0743237188;0375727345;13
0345337662;059035342X;13
014028009X;067976402X;13
0140298479;0141000198;13
0312966091;0312265867;13
0345353145;0345380371;13
0439064864;0316769487;13
0380789019;0380789035;13
0312265867;0312966091;13
0743418174;0140293248;13
0553250426;0553289411;13
0451177096;0451176464;13
084232920X;0842329218;13
0060934417;0375726403;13
0441005748;0441004520;13
0312278586;0743418174;13
0441005748;0441001971;13
0441000916;0441005241;13
0446610399;0446608955;13
0440241073;0440225701;13
0446310786;043935806X;13
0312278586;0671003755;13
0618002227;0618002235;13
0385265700;0316601950;13
0440241073;0440234743;13
0671534734;0671534742;12
0140293248;0142001740;12
0553284789;0553279912;12
0425158616;0425163407;12
0060915544;0316666343;12
0064407683;0064408639;12
0060987561;0446672211;12
0441005748;0441005241;12
1573229326;0743418174;12
0441005748;0441003745;12
0671534734;0671534726;12
0553213172;0553213180;12
0671534726;0671534718;12
0440225701;0440214041;12
0312265867;0312976275;12
0439064864;0345337662;12
0446610038;0446364193;12
0441002935;0441304834;12
0316769487;0590353403;12
0061009059;0312195516;12
0312976275;0312265867;12
0446610038;0446606189;12
0446605239;0316601950;12
0609804138;0142001740;12
0380718340;0446610038;12
0446610038;0446608815;12
014029628X;0060928336;12
0609804138;0316666343;12
0515136379;0515132020;12
0345342968;0316769487;12
0553213148;0553213156;12
0553279556;0449221504;12
0312306326;0312265867;12
0060930535;0375727345;12
0425158616;0380718340;12
0345402871;0345353145;12
031242227X;0316666343;12
067976402X;0446672211;12
0440224764;0440241073;12
068484267X;0316666343;12
0064472795;0380814021;12
0671003755;0156027321;12
0804114986;0312195516;12
0345322231;0345313151;12
0060987561;0142000205;12
0316096199;0375726403;12
0671534742;0671534734;12
0425158616;0425147622;12
0671534718;0671534726;12
0688170528;0316666343;12
0064471063;0064471047;12
0312265867;0312306326;12
0441000916;0441005748;12
0060987561;0316601950;12
0452282152;067976402X;12
0441005748;0441000916;12
0380710218;0440214041;12
0060987103;0316769487;12
0804106304;0312195516;12
0440236673;0440211727;12
0671003755;0375726403;12
0671003755;0316601950;12
0670855030;0670868361;12
0380814021;0064472795;12
0345353145;0345402871;12
0441003745;0441304834;12
0345339681;0316666343;12
0140270590;0140265686;12
0425116840;0425109720;12
0441005241;0441005748;12
0449221504;0449219461;12
0894805770;089480829X;12
044651652X;0316666343;12
0671695126;0671695169;12
0449221504;0449221482;12
0449221482;0449221504;12
0449221512;0553279912;12
0345337662;0439064864;12
0670835382;0670839531;12
0425163407;0425158616;12
0449223604;0449219364;12
0446606189;0446610038;12
0446606189;0446604801;12
0385722206;0385504209;12
0671003755;059035342X;12
0060921145;0060915544;12
1400034779;0671027360;12
0449221482;0449221490;12
0440234743;0440220602;12
0743418204;0743418174;12
0385265700;0312195516;12
0451170385;0451167317;12
0446606189;0446364193;12
0064471101;0064471047;12
0553280341;0449219461;12
0312924585;0440224675;12
0452282829;0316666343;12
0451176464;0451167317;12
051513287X;0515128546;12
0060987103;0385504209;12
0440213525;044022165X;12
